ID,Age,Education,MaritalStatus,Income,KidsHousehold,TeensHousehold,NWebPurchases,NStorePurchases,AcceptedCampaign,Complaint,SpendProducts
2499,33,Bachelor,Married,51373,0,0,3,3,0,0,276
523,60,Bachelor,Single,58138,0,0,8,4,0,0,806
316,66,Bachelor,Single,46344,1,1,1,2,0,0,9
454,55,Bachelor,Married,71613,0,0,8,10,0,0,287
814,36,Bachelor,Married,26646,1,0,2,4,0,0,34
4,39,PhD,Married,58293,1,0,5,6,0,0,207
635,53,Master,Married,62513,0,1,6,10,0,0,140
2422,49,Bachelor,Divorced,55635,0,1,7,7,0,0,279
2930,35,PhD,Married,33454,1,0,4,4,0,0,69
1612,46,PhD,Married,30351,1,0,3,2,0,0,27
157,70,PhD,Married,5648,1,1,1,0,1,0,7
2441,44,Diploma,Married,7500,0,0,2,3,0,0,38
1344,61,Bachelor,Divorced,63033,0,0,3,8,0,0,766
2786,68,Master,Divorced,59354,1,1,6,5,0,0,58
108,33,Bachelor,Married,17323,0,0,1,3,0,0,37
933,74,PhD,Single,82800,0,0,7,12,1,0,196
1618,40,Bachelor,Married,41850,1,1,3,3,0,0,26
2670,74,Bachelor,Married,37760,0,0,4,6,0,0,193
2781,71,Master,Married,76995,0,1,11,9,1,0,578
673,35,Master,Single,33812,1,0,2,3,0,0,66
2615,38,Bachelor,Married,37040,0,0,4,5,0,0,144
2398,41,Bachelor,Married,2447,1,0,0,0,0,0,1727
2358,71,PhD,Married,58607,0,1,2,9,1,0,86
468,66,PhD,Married,65324,0,1,6,9,0,0,123
2047,69,Bachelor,Married,40689,0,1,7,5,0,0,69
2585,51,Bachelor,Single,18589,0,0,2,3,0,0,44
1710,44,Bachelor,Married,53359,1,1,5,4,0,0,37
1764,31,Bachelor,Married,38360,1,0,2,4,0,0,64
1023,55,PhD,Married,84618,0,0,6,10,1,0,922
1410,31,Master,Divorced,10979,0,0,3,3,0,0,16
316,57,Master,Married,38620,0,0,2,3,0,0,95
62,50,Bachelor,Married,40548,0,1,2,4,1,0,7
2734,68,PhD,Divorced,46610,0,1,4,6,0,0,141
1602,74,Master,Married,68657,0,0,3,9,0,0,624
3006,69,Master,Single,49389,1,1,2,3,0,0,21
453,50,PhD,Married,67353,0,1,5,12,0,0,168
3005,44,Master,Married,23718,1,0,3,2,0,0,32
936,47,Bachelor,Widow,42429,0,1,1,3,0,0,8
2125,77,PhD,Divorced,48948,0,0,7,5,1,0,374
520,40,Bachelor,Married,80011,0,1,8,5,0,0,694
972,35,Master,Married,20559,1,0,2,3,0,0,33
2914,63,Bachelor,Married,21994,0,1,0,3,0,0,9
2578,45,Master,Married,7500,1,0,2,3,0,0,14
1696,44,Bachelor,Single,79941,0,0,2,9,0,0,657
2219,24,Master,Married,7500,0,0,3,3,0,0,47
545,52,Bachelor,Married,41728,1,0,2,2,0,0,24
1961,66,PhD,Married,72550,1,1,5,12,0,0,417
2188,63,Bachelor,Widow,65486,0,1,4,10,0,0,181
2506,56,Master,Married,79143,0,0,6,13,0,0,844
786,43,Bachelor,Single,35790,1,0,2,3,0,0,56
62,43,Bachelor,Divorced,82582,0,0,4,7,1,0,826
2039,42,Bachelor,Married,66373,1,1,4,10,0,0,145
2133,65,Master,Married,82384,0,0,3,13,1,0,663
2033,54,Bachelor,Divorced,70287,0,0,5,10,0,0,638
404,32,Bachelor,Single,27938,1,0,1,4,0,0,10
1426,52,PhD,Married,55954,0,1,8,6,0,0,28
2832,38,Master,Single,75777,0,0,3,11,1,0,633
2595,45,Bachelor,Married,66653,1,1,4,12,0,0,136
1206,68,Bachelor,Single,61823,0,1,8,10,0,0,178
2454,69,PhD,Widow,67680,0,1,7,8,0,0,48
1755,72,Bachelor,Married,70666,0,0,7,4,0,0,526
2330,49,Bachelor,Married,25721,1,0,1,2,0,0,12
1103,53,Bachelor,Married,32474,1,1,1,2,0,0,1
483,41,Master,Single,88194,0,1,11,10,1,0,524
1841,62,Bachelor,Married,69096,0,1,5,10,0,0,215
3037,50,Bachelor,Married,74854,1,1,2,5,0,0,604
2411,66,Master,Married,66991,0,0,4,6,0,0,685
605,61,Bachelor,Married,65031,0,1,10,13,0,0,482
2169,45,PhD,Married,60631,1,1,9,8,1,0,71
985,68,Bachelor,Married,28332,0,0,2,4,0,0,27
1296,43,Bachelor,Divorced,40246,1,0,1,2,0,0,9
889,48,Master,Married,75251,0,0,7,5,0,0,1133
2335,44,Bachelor,Single,75825,0,0,5,9,1,0,1021
646,44,Master,Married,26326,0,0,0,3,0,1,5
374,55,Bachelor,Married,56046,0,0,10,8,1,0,64
14,35,Bachelor,Single,29760,1,0,3,4,0,0,79
1067,51,Bachelor,Married,26304,1,0,1,2,0,0,8
1256,47,Master,Married,23559,1,0,3,3,0,0,31
2046,57,Master,Married,38620,0,0,2,3,0,0,95
2160,33,Bachelor,Divorced,81361,0,0,3,13,0,0,474
2198,60,Bachelor,Married,29440,1,1,1,4,0,0,32
1628,50,Master,Married,36138,1,1,3,4,1,0,16
251,63,Bachelor,Single,50388,0,1,6,6,1,0,43
549,47,Bachelor,Married,79593,0,0,5,7,1,0,738
1951,53,Bachelor,Married,54178,0,1,2,5,0,0,52
734,48,Master,Single,42394,1,0,1,3,0,0,12
556,50,PhD,Married,23626,1,0,3,3,0,0,16
412,37,Bachelor,Married,30096,1,0,2,3,0,0,26
6,60,Bachelor,Widow,47916,0,1,7,6,1,0,26
3058,48,Bachelor,Divorced,51813,1,1,2,3,0,0,9
2937,69,Master,Married,78497,0,0,5,12,1,0,548
3015,37,PhD,Married,50150,0,0,5,7,0,0,203
1124,60,Master,Single,47823,0,1,2,3,0,0,8
1916,61,PhD,Single,34554,0,1,2,3,0,0,9
796,41,Bachelor,Married,85693,0,1,9,11,0,0,540
2424,75,PhD,Married,65846,0,0,6,6,0,0,437
575,61,Bachelor,Married,87195,0,0,3,5,0,0,816
748,41,Diploma,Married,24594,1,0,1,3,0,0,19
2483,56,Bachelor,Married,49096,1,1,4,4,0,0,35
3070,51,Bachelor,Married,52413,0,1,6,12,0,0,452
1340,42,Bachelor,Single,38557,1,0,3,3,0,0,38
2114,60,Master,Married,89058,0,0,5,4,0,0,331
1048,41,Bachelor,Married,77298,0,1,6,11,0,0,430
2735,29,PhD,Single,68126,0,0,7,5,1,0,351
2513,57,Master,Married,57288,0,1,8,8,1,0,21
1194,29,Bachelor,Single,86037,0,0,6,11,1,0,198
1886,40,PhD,Married,43974,1,0,6,6,0,0,101
2731,58,Bachelor,Single,50785,1,1,2,3,0,0,22
1920,50,Bachelor,Married,90765,0,0,4,5,1,0,1062
1021,42,Master,Married,36550,1,0,9,5,0,0,307
2458,53,Master,Married,30753,1,1,1,3,0,0,30
1596,51,Bachelor,Married,21918,1,0,2,3,0,0,24
1572,67,Master,Married,56129,0,1,6,10,0,0,220
1514,53,Master,Single,32557,1,0,2,3,0,0,32
718,35,Master,Married,19510,1,0,1,3,0,0,10
1184,44,Bachelor,Divorced,30992,1,0,1,3,0,0,21
1888,37,Bachelor,Single,101970,0,0,6,13,1,0,173
1804,55,Master,Married,71488,0,0,3,7,0,0,197
2688,36,Bachelor,Single,79607,0,0,3,6,0,0,1257
1458,67,Master,Married,54348,1,1,2,4,0,0,16
2470,64,PhD,Married,77376,1,1,6,10,0,0,145
2789,68,Bachelor,Married,62998,0,1,5,5,0,0,196
576,62,Master,Single,61331,1,1,11,6,0,0,52
2747,51,Bachelor,Married,73448,0,0,7,9,0,0,318
1096,56,PhD,Married,41551,1,1,5,5,0,0,36
310,53,PhD,Married,62981,0,0,4,13,1,0,642
1302,44,Diploma,Divorced,9548,1,0,1,3,0,0,14
849,61,PhD,Married,33762,1,1,2,2,0,0,37
1231,47,PhD,Single,35860,1,1,1,2,1,0,12
2889,55,PhD,Divorced,36921,1,1,2,3,0,0,16
30,28,Master,Single,92859,0,0,5,12,0,0,1034
1059,44,Master,Married,65104,0,1,3,7,0,0,245
2592,58,Bachelor,Married,86111,0,0,5,10,0,0,820
404,46,PhD,Single,68352,0,1,8,9,0,0,191
209,32,Bachelor,Married,41883,1,0,4,3,0,0,148
14,44,Bachelor,Married,59809,0,1,3,6,0,0,189
2968,45,Bachelor,Married,23957,1,0,2,3,0,0,39
1602,39,Bachelor,Married,38547,1,0,1,2,0,1,11
1588,47,Master,Married,35688,1,1,4,4,0,0,105
582,54,Master,Married,49605,0,0,2,4,0,0,57
1203,67,Master,Married,59354,0,1,4,7,0,0,138
2544,51,Bachelor,Married,65747,0,1,8,6,1,0,88
700,48,Master,Married,46344,0,1,7,5,0,0,85
2917,32,Bachelor,Single,34176,1,0,3,4,0,0,50
1100,68,PhD,Married,61010,0,1,8,11,0,0,57
1780,71,Bachelor,Married,69372,0,0,10,6,1,0,329
2182,62,Bachelor,Single,49967,0,1,6,5,0,0,79
1934,42,Bachelor,Single,60199,1,1,0,3,0,0,10
1166,43,Bachelor,Married,55375,0,1,1,6,0,0,78
2941,65,Bachelor,Single,80317,0,0,3,10,0,0,547
652,62,Master,Single,30523,1,1,1,2,0,0,3
1061,75,PhD,Married,70356,0,0,10,9,0,0,308
1393,36,Bachelor,Married,23228,1,0,3,4,0,0,59
1507,45,PhD,Divorced,74165,0,0,5,10,0,0,268
1904,47,PhD,Married,157243,0,1,0,0,0,0,1585
504,54,Bachelor,Married,43482,1,1,2,4,0,0,39
1200,67,Bachelor,Divorced,62551,0,0,6,4,1,0,248
1611,61,Bachelor,Divorced,52332,0,0,3,6,1,0,45
105,32,Bachelor,Single,66951,0,0,3,7,0,0,640
696,63,Bachelor,Married,26091,1,1,2,3,0,0,37
372,55,Bachelor,Married,33456,1,1,1,3,0,0,21
1193,38,Bachelor,Married,28718,1,0,2,3,0,0,21
1887,50,Bachelor,Married,50447,1,0,3,3,0,0,33
769,61,PhD,Married,53537,1,1,2,3,0,0,6
2268,53,Bachelor,Single,52074,0,1,2,2,1,0,12
2103,45,PhD,Married,80427,0,1,11,8,0,0,589
2874,72,PhD,Married,83837,0,0,9,5,1,0,271
1811,50,PhD,Married,38853,1,1,2,3,0,0,14
1805,61,Bachelor,Married,38285,1,1,0,3,0,0,7
2560,69,Master,Married,78497,0,0,5,12,1,0,548
496,44,PhD,Married,51650,0,1,4,4,0,0,27
333,32,Master,Married,16248,1,0,2,3,0,0,24
47,74,Master,Married,66835,0,0,6,13,0,0,255
558,36,Master,Married,30477,1,0,1,3,0,0,7
2958,59,Diploma,Married,28249,0,0,2,3,0,0,18
2473,37,Bachelor,Married,25271,1,0,1,2,0,0,29
1872,50,PhD,Single,32303,0,1,1,4,0,0,2
183,54,Bachelor,Married,61286,0,1,7,8,0,0,126
2619,44,Bachelor,Married,74068,0,0,4,9,0,0,707
56,56,PhD,Married,45759,1,1,2,3,0,0,22
1384,42,Diploma,Married,24882,1,0,1,2,1,0,43
2554,31,PhD,Married,66973,0,0,8,12,0,0,601
881,120,Master,Divorced,36640,1,0,2,2,0,1,21
2291,32,Bachelor,Married,38872,1,0,3,3,0,0,27
2507,47,Bachelor,Married,51148,1,1,5,6,0,0,59
2099,43,Bachelor,Married,31353,1,1,1,2,0,0,13
356,40,Master,Married,69661,0,0,7,12,0,0,154
2503,66,Bachelor,Married,80067,0,0,4,6,1,0,857
1390,66,Bachelor,Married,86718,0,0,5,5,0,0,721
128,47,PhD,Single,46854,1,1,5,3,1,0,87
2351,68,Bachelor,Divorced,69142,0,1,8,7,1,0,44
2888,52,Bachelor,Single,75922,0,0,4,9,0,0,915
262,42,Bachelor,Divorced,63693,0,1,11,9,0,0,422
1453,43,PhD,Married,102160,0,0,7,10,1,0,243
2983,55,PhD,Single,40637,1,1,1,3,0,0,13
384,36,Master,Single,18890,0,0,0,2,1,0,12
1086,32,Bachelor,Married,29604,1,0,1,3,1,0,26
1544,57,Master,Divorced,48721,1,1,4,5,0,0,178
75,54,Bachelor,Married,44794,0,1,2,3,0,0,7
1257,66,Bachelor,Divorced,64497,0,1,11,9,1,0,410
3000,64,Bachelor,Married,46097,0,1,3,6,0,0,157
1503,66,Bachelor,Married,77972,0,0,4,9,0,0,374
276,52,PhD,Married,44377,1,1,5,5,0,0,30
1946,46,Master,Married,46014,1,1,7,8,0,0,78
390,35,Bachelor,Married,70951,0,0,3,9,0,0,818
2145,43,Bachelor,Married,41443,1,0,8,5,0,0,203
2112,42,Master,Single,52195,1,1,1,2,0,0,4
2237,72,Master,Married,83790,0,0,8,6,1,0,475
3008,66,Master,Widow,44551,0,1,4,5,0,0,37
2773,40,Bachelor,Married,69508,1,0,11,11,0,0,236
222,32,Master,Married,45204,1,0,1,4,0,0,65
1659,51,Bachelor,Married,72460,0,0,3,7,0,0,630
242,50,PhD,Married,77622,0,1,6,11,0,0,180
2451,40,PhD,Married,30732,1,0,4,4,0,0,26
39,58,Bachelor,Divorced,63887,0,1,9,12,0,0,245
2704,42,Bachelor,Married,42011,1,0,3,4,0,0,18
831,44,Bachelor,Married,51369,0,1,8,4,0,0,86
1919,68,Bachelor,Divorced,51537,0,1,2,11,0,0,224
1715,48,PhD,Married,79930,0,0,3,8,0,0,893
144,34,PhD,Married,34320,1,0,1,2,0,0,13
412,54,Bachelor,Single,37070,1,1,5,8,0,0,148
20,58,Master,Divorced,81975,0,1,6,4,1,0,440
2821,49,Bachelor,Married,38590,1,0,1,2,0,0,13
2735,69,Bachelor,Single,15033,0,0,1,3,0,0,15
2582,55,PhD,Married,62745,0,1,7,11,0,0,513
1689,45,Master,Married,22212,1,0,2,4,0,0,35
1267,38,Master,Married,23661,1,0,1,3,0,0,4
2361,62,PhD,Single,79761,0,1,5,11,0,0,144
1331,47,Bachelor,Single,7500,1,0,3,3,0,0,25
849,127,Master,Single,60182,0,1,1,2,0,0,12
1685,52,Bachelor,Widow,73455,0,0,6,10,1,0,1004
2120,62,Bachelor,Married,64961,0,1,6,4,0,0,465
2721,49,Bachelor,Single,22804,1,0,2,2,0,0,10
1898,30,Bachelor,Married,73687,0,0,3,9,1,0,874
1924,62,Bachelor,Married,61074,0,1,11,8,0,0,133
1182,56,PhD,Married,31686,1,1,1,3,0,0,5
1201,48,Bachelor,Married,80134,1,0,5,6,1,0,392
441,67,Bachelor,Married,75027,0,1,9,6,0,0,376
2179,32,PhD,Married,67546,0,0,4,5,0,0,1052
1754,51,Master,Married,65176,0,1,9,6,0,0,431
769,45,Master,Single,31160,1,0,2,3,0,0,34
2323,35,Bachelor,Single,29938,1,0,1,3,0,0,10
498,46,Bachelor,Divorced,102692,0,0,6,13,1,0,624
2140,62,Master,Married,26490,0,0,3,5,0,0,120
1216,53,Bachelor,Married,75702,1,1,4,11,0,0,426
1013,46,PhD,Single,30899,1,0,1,3,0,0,8
800,59,PhD,Married,63342,0,1,8,5,1,0,152
2778,56,Bachelor,Single,45989,0,1,3,7,0,0,148
213,56,Bachelor,Single,18701,1,1,2,4,0,0,16
1123,63,PhD,Single,40737,1,1,1,2,0,0,4
1349,41,Bachelor,Divorced,15287,1,0,1,2,1,0,14
297,52,PhD,Divorced,69674,0,1,10,10,0,0,267
1880,50,Master,Married,44159,1,0,4,6,0,0,88
2555,42,PhD,Married,37717,1,0,1,2,0,0,10
1398,68,Master,Married,43776,1,1,5,4,0,0,76
2924,54,Master,Married,38179,1,1,3,3,0,0,30
1606,57,Bachelor,Married,80124,0,0,3,8,1,0,687
1140,50,PhD,Married,38097,1,1,3,2,1,0,37
1938,50,Bachelor,Married,72940,0,0,3,6,0,0,534
2057,50,Bachelor,Married,22070,1,0,2,2,0,0,34
45,67,Bachelor,Single,69267,0,0,3,5,0,0,638
793,37,Master,Single,31788,1,0,3,4,0,1,30
688,45,PhD,Married,61905,0,1,4,4,0,0,49
2468,60,Bachelor,Married,29315,1,1,2,4,0,0,24
1352,57,Bachelor,Divorced,33378,1,1,2,4,0,0,49
1638,57,PhD,Married,66313,0,1,6,12,0,0,116
43,64,Bachelor,Single,60714,0,0,7,10,0,0,487
1808,39,Master,Married,77882,0,0,3,5,0,0,713
2648,34,PhD,Single,69867,0,0,3,8,1,0,545
1279,52,Master,Divorced,63841,0,1,9,9,0,0,135
1241,39,Diploma,Married,24480,1,0,3,4,0,0,56
1425,44,Bachelor,Married,51369,0,1,8,4,0,0,86
1582,74,Bachelor,Married,37760,0,0,4,6,0,0,193
853,46,PhD,Married,65640,0,1,5,8,0,0,176
2408,45,Master,Married,44319,1,1,2,3,0,0,8
3076,46,Bachelor,Married,30631,1,0,3,2,0,0,30
1473,68,Bachelor,Married,75278,0,0,6,13,0,0,478
188,64,Master,Married,50898,1,1,6,12,0,0,325
994,54,Bachelor,Widow,79946,0,0,5,5,0,0,914
2036,71,Master,Divorced,35416,0,0,7,5,0,0,88
1735,36,Master,Married,32414,0,0,1,3,1,0,11
745,51,Bachelor,Married,38361,1,0,3,3,0,0,76
1389,40,Bachelor,Married,82497,0,0,2,9,1,0,918
2712,49,Bachelor,Married,16626,1,0,3,3,0,0,46
1798,55,Bachelor,Married,29672,1,1,0,3,0,0,4
2811,68,Master,Married,55951,0,1,3,11,1,0,80
1468,32,Master,Divorced,35388,1,0,1,3,0,0,15
837,34,Master,Married,42386,1,0,3,3,0,0,20
1430,38,Bachelor,Single,68627,0,0,2,6,0,0,338
1712,55,PhD,Divorced,57912,0,1,8,12,1,0,80
901,62,Bachelor,Divorced,35246,1,1,3,3,0,0,14
71,64,Master,Married,58821,0,1,9,9,0,0,187
1390,42,PhD,Married,46377,1,0,2,3,0,0,50
1339,32,Bachelor,Single,39747,1,0,5,4,0,0,128
369,36,Bachelor,Married,23976,1,0,3,3,0,0,24
1972,59,Master,Married,80950,0,0,6,9,1,0,478
671,54,Bachelor,Widow,27038,0,0,3,3,0,0,68
2695,73,Bachelor,Single,77457,0,0,2,10,1,0,426
436,56,Master,Married,64100,0,1,8,6,1,0,27
2439,28,Master,Married,42670,0,0,4,4,0,0,68
2369,44,Bachelor,Divorced,12571,1,0,3,3,0,0,21
155,53,Bachelor,Married,22574,1,1,2,3,0,0,10
2543,44,Master,Single,70893,0,0,6,10,0,0,682
1179,54,Bachelor,Married,54198,1,1,3,6,0,0,31
106,64,Master,Married,28839,1,1,2,3,0,0,7
2546,48,Bachelor,Married,40321,1,1,3,3,0,0,31
1441,35,Bachelor,Single,66503,1,0,4,6,0,0,257
1733,69,Bachelor,Married,30833,1,1,1,3,0,0,10
523,49,Bachelor,Married,64795,0,1,3,12,0,0,162
2067,46,Bachelor,Married,34421,1,0,1,2,0,0,16
2509,55,PhD,Divorced,47025,1,1,1,2,0,0,3
523,59,PhD,Divorced,64325,0,1,10,5,0,0,491
930,67,Bachelor,Single,40464,0,1,8,8,0,0,142
2912,63,Bachelor,Married,62187,0,0,4,5,0,0,320
444,44,PhD,Divorced,14849,1,0,2,4,0,0,33
3074,36,Bachelor,Married,27255,1,0,1,3,0,0,12
809,70,PhD,Married,54432,1,1,1,3,0,0,5
3019,34,PhD,Single,29999,1,0,3,4,0,0,76
2003,37,Bachelor,Single,24072,1,0,1,2,0,0,10
422,31,PhD,Single,33996,0,0,1,3,0,0,25
1982,64,PhD,Married,66334,0,1,9,5,0,0,229
311,49,Master,Married,35178,1,0,1,2,1,0,16
2725,37,Bachelor,Married,22010,1,0,2,3,0,0,14
1382,60,Bachelor,Divorced,62204,0,1,4,12,0,0,444
1632,52,Bachelor,Divorced,75693,0,0,11,6,1,0,518
419,48,Bachelor,Married,30675,1,0,1,3,0,0,29
2549,55,Bachelor,Married,83003,0,0,7,8,1,0,671
1345,121,PhD,Married,83532,0,0,4,4,1,0,810
1272,32,Bachelor,Single,68655,0,0,4,11,0,0,926
1193,34,Bachelor,Divorced,41411,0,0,2,4,0,0,81
1578,51,PhD,Married,55212,0,1,4,11,1,0,45
1489,70,PhD,Married,59292,0,1,3,8,0,0,101
2880,47,Diploma,Married,27190,1,0,1,2,1,0,13
950,68,Bachelor,Divorced,82623,0,0,2,4,0,0,410
2000,55,Bachelor,Married,44300,1,1,1,3,0,0,9
2876,50,Bachelor,Divorced,84835,0,0,4,6,0,0,594
1896,49,Bachelor,Widow,30372,1,1,2,3,0,0,19
856,44,Master,Married,33181,1,0,1,2,1,0,3
845,63,Bachelor,Married,71113,0,1,6,9,0,0,299
2948,34,Bachelor,Married,71952,1,0,8,8,1,0,587
2088,54,PhD,Single,69759,0,0,4,5,0,0,547
1814,46,Bachelor,Married,72099,0,0,3,10,0,0,620
534,44,PhD,Single,60000,0,1,11,5,0,0,217
2521,42,Bachelor,Single,38643,1,1,2,3,0,1,16
1193,65,Bachelor,Married,50737,0,1,2,4,1,0,11
1689,51,PhD,Married,68462,0,0,3,8,0,0,933
2395,77,Master,Married,65073,0,0,5,5,0,1,263
1914,72,PhD,Married,46681,0,1,4,4,0,0,99
1059,63,Bachelor,Married,78618,0,0,4,10,1,0,1193
1415,51,PhD,Widow,62187,0,1,6,10,0,0,83
1058,42,Bachelor,Married,28442,1,0,2,4,0,0,24
1875,42,PhD,Married,37717,1,0,1,2,0,0,10
1660,53,Bachelor,Married,51479,1,1,6,6,0,0,174
1964,51,Bachelor,Single,54803,0,1,6,9,0,0,120
110,60,Bachelor,Married,79530,0,0,4,11,0,0,944
3042,44,Bachelor,Divorced,31615,1,0,2,3,0,0,29
3075,58,Bachelor,Married,72025,0,0,4,8,0,0,733
1670,45,PhD,Single,52614,0,1,2,8,0,0,154
1530,36,Master,Married,35684,1,0,1,3,0,0,11
1754,45,Bachelor,Married,48178,1,1,5,4,0,0,55
135,50,Master,Single,29548,1,0,1,2,1,0,10
2864,54,Bachelor,Single,63810,0,1,4,12,1,0,281
2394,48,PhD,Single,38578,1,1,3,3,0,0,29
2935,45,Master,Single,46098,1,1,3,2,0,0,27
386,50,Bachelor,Single,22585,0,0,1,2,1,0,37
799,31,Bachelor,Single,30279,1,0,1,3,0,0,22
2506,59,PhD,Married,66426,0,1,3,10,0,0,153
2012,51,Bachelor,Single,30822,1,0,1,3,0,0,24
2810,51,PhD,Married,33581,1,0,1,2,0,0,5
1817,35,Bachelor,Married,19986,1,0,0,3,0,0,11
2713,66,Bachelor,Widow,27421,0,0,4,6,0,0,186
2580,47,Master,Married,35688,1,1,4,4,0,0,105
889,39,Master,Single,36143,1,0,0,2,0,0,1
2257,49,Bachelor,Single,10245,1,0,1,2,0,0,20
775,52,Master,Married,43795,0,1,7,4,1,0,68
1088,60,Bachelor,Married,63381,0,1,4,13,0,0,225
850,71,Bachelor,Married,38823,0,1,2,3,0,0,13
2027,52,PhD,Divorced,83664,1,1,2,12,0,0,200
2320,41,Bachelor,Married,90300,0,0,5,8,1,0,953
1734,41,Master,Married,62499,1,0,3,6,0,0,65
2382,27,Bachelor,Single,74293,0,0,5,6,0,0,580
498,74,PhD,Married,51012,0,0,4,4,0,0,74
232,52,Master,Married,70777,0,1,5,12,0,0,148
1038,29,PhD,Married,68682,0,0,4,10,0,0,604
2220,49,Bachelor,Married,43824,1,1,3,4,0,0,55
720,36,Bachelor,Married,15345,1,0,1,2,0,0,21
2683,33,Bachelor,Single,23442,1,0,1,3,0,0,14
1544,40,Master,Married,14515,1,0,2,3,0,0,19
308,64,Master,Divorced,31395,1,1,2,3,0,0,26
1811,55,Bachelor,Married,75276,0,0,9,9,0,0,367
113,46,Bachelor,Single,42373,1,1,2,5,0,0,69
252,60,Bachelor,Married,30507,0,0,5,4,0,0,148
1325,65,PhD,Single,55521,1,1,6,6,1,0,26
1683,55,Bachelor,Married,48006,1,1,1,3,0,0,14
246,48,PhD,Single,27213,1,0,2,4,0,0,39
893,49,PhD,Divorced,65808,1,1,5,5,0,0,100
2763,46,PhD,Married,30351,1,0,3,2,0,0,27
1141,57,Bachelor,Married,50437,0,1,7,8,0,0,107
2061,38,Master,Single,23616,1,0,3,3,0,0,36
1596,44,Bachelor,Married,53858,0,1,4,6,0,0,332
2587,65,PhD,Married,66465,0,1,11,12,1,0,242
46,33,Bachelor,Single,46923,1,0,5,7,0,0,200
1177,58,Bachelor,Married,75072,0,1,5,8,0,0,343
329,77,PhD,Married,75865,0,0,3,10,0,0,747
2729,45,Master,Married,19789,1,0,2,3,1,0,42
2327,26,Bachelor,Married,80134,0,0,2,11,1,0,360
2059,39,Bachelor,Single,91065,0,0,7,9,1,0,401
128,49,Master,Married,49505,1,1,10,8,0,0,119
555,47,PhD,Married,37401,1,0,2,3,0,0,25
2856,37,Bachelor,Married,30096,1,0,2,3,0,0,26
1255,38,Master,Married,18492,1,0,1,2,0,0,6
2297,46,Master,Married,82584,0,0,3,8,1,0,200
1168,79,PhD,Married,93027,0,0,7,5,1,0,813
2291,67,Bachelor,Married,48686,1,1,1,2,0,0,9
323,34,Bachelor,Married,92910,0,0,6,13,1,0,1108
440,31,Bachelor,Married,75433,1,0,2,10,1,0,297
3073,31,Master,Married,10404,1,0,1,4,0,0,23
2469,52,Bachelor,Married,61314,0,1,5,12,0,0,286
531,59,PhD,Single,84865,0,0,2,9,1,0,408
1711,31,Bachelor,Married,42387,1,0,8,7,0,0,254
2518,53,Master,Married,67309,1,1,9,9,0,0,377
1574,56,Bachelor,Married,75236,0,1,8,13,0,0,478
1458,50,Bachelor,Single,30015,1,0,1,4,0,0,24
2238,64,Master,Married,50943,0,1,1,3,0,0,9
75,54,Bachelor,Divorced,67272,0,1,6,12,0,0,334
816,71,Master,Widow,51529,0,1,9,5,0,0,45
355,49,PhD,Married,32011,1,0,2,4,0,0,17
